Rez.-Nr.,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.133,6,105-54-4,Ethylbutyrat Kosher Halal,0.059494,0.22459,-0.13154,0.06272,-0.00052,0.02981
185.133,7,142-62-1,Hexansäure kräftig,0.002526,0.22015,-0.1413,0.00921,0.06721,-0.00244
185.133,8,141-78-6,Ethylacetat Kosher Halal,0.001053,0.18479,-0.05641,0.02437,-0.08876,0.01525
185.133,9,123-66-0,Ethylhexanoat Halal,0.050737,0.15802,0.07208,-0.03699,0.01027,-0.03867
185.133,10,105-57-7,Acetal Halal,0.000737,0.13729,-0.02197,-0.04232,-0.04606,-0.02694
185.133,11,108-64-5,Ethylisovalerat Kosher Halal,0.001158,0.11491,-0.02364,0.02384,0.02546,-0.04196
185.133,12,64-19-7,Essigsäure Halal Kosher,0.001263,0.11399,0.00074,0.02781,-0.07415,-0.01129
185.133,13,100-52-7,Benzaldehyd Kosher Halal,1.1e-05,0.10371,-0.01853,-0.08003,0.00255,0.00261
185.133,14,105-37-3,Ethylpropionat Halal,5e-06,0.03152,-0.00564,0.01763,0.00712,0.00113
185.133,15,107-92-6,Buttersäure Halal Kosher,0.000842,0.02823,0.00388,0.01214,0.01181,-0.00041
185.133,16,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.042105,0.01994,-0.01073,0.00212,0.00557,0.00152
185.133,17,97-62-1,Ethylisobutyrat Halal,1.1e-05,0.01125,0.00175,0.00621,0.00217,0.00113
185.133,18,431-03-8,Diacetyl Halal,0.000632,0.01123,0.00033,-0.00274,0.00276,0.00539
185.133,19,75-07-0,Acetaldehyd Halal Kosher,0.000526,0.01022,0.00076,-0.00204,-0.00508,0.00234
185.133,20,109-21-7,Butylbutyrat Halal,5e-06,0.00811,0.00189,-0.00433,0.00145,-0.00044
185.237H,1,110-19-0,Isobutylacetat Halal,0.010726,0.61498,0.31121,-0.15507,0.083,-0.06571
185.237H,2,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.076615,0.47505,0.0095,-0.08327,0.1633,0.21897
185.237H,3,64-18-6,"Ameisensäure 80%, natürlich Kosher, Halal",0.002128,0.4396,0.0556,0.00752,0.26805,0.10843
185.237H,4,105-54-4,Ethylbutyrat Kosher Halal,0.027756,0.40207,-0.23549,0.11228,-0.00093,0.05337
185.237H,5,706-14-9,gamma-Decalacton Kosher Halal,0.010994,0.33787,-0.09863,-0.16087,0.00801,0.07036
185.237H,6,142-92-7,Hexylacetat Kosher Halal,0.008717,0.31441,0.03945,0.06514,0.08565,0.12417
185.237H,7,123-66-0,Ethylhexanoat Halal,0.010326,0.26075,-0.11894,0.06104,-0.01695,0.06381
185.237H,8,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.019307,0.19943,-0.1073,0.02124,0.05567,0.01522
185.237H,9,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.035664,0.17918,-0.02793,-0.13221,-0.01403,-0.00501
185.237H,10,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.002281,0.13888,-0.05276,-0.01306,-0.05309,0.01997
185.237H,11,64-19-7,Essigsäure Halal Kosher,0.001745,0.11161,0.00072,0.02723,-0.0726,-0.01105
185.237H,12,1754-62-7,Methyl-trans-cinnamat Halal,0.021452,0.06797,-0.01039,-0.02476,-0.02185,0.01096
185.237H,13,3658-77-3,Furaneol Halal,0.048204,0.06039,-0.00016,-0.02199,-0.01671,-0.02153
185.237H,14,118-71-8,Maltol Kosher Halal,0.006385,0.04742,-0.00805,-0.02337,-0.00278,-0.01322
185.237H,15,116-53-0,2-Methylbuttersäure Halal Kosher,0.05913,0.04633,0.0256,0.00707,-0.01273,0.00093
185.237H,16,111-27-3,Hexanol Kosher Halal,0.005899,0.0236,0.0023,0.00717,-0.00453,0.0096
185.237H,17,142-62-1,Hexansäure kräftig,0.014212,0.00251,-0.00161,0.00011,0.00077,-3e-05
185.239,1,868-57-5,Methyl-2-methylbutyrat,0.042964,1.35494,-0.04875,0.49836,0.65337,-0.15447
185.239,2,75-07-0,Acetaldehyd Halal Kosher,0.052879,1.34215,-0.10038,0.26779,0.6667,-0.30727
185.239,3,1754-62-7,Methyl-trans-cinnamat Halal,0.103115,0.92454,0.14135,0.33684,0.29722,-0.14914
185.239,4,109-94-4,Ethylformiat Halal,0.003437,0.91781,-0.06128,0.16311,0.50756,-0.18587
185.239,5,124-07-2,Octansäure,0.006874,0.69912,-0.07047,0.24939,0.26702,-0.11224
185.239,6,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.19798,0.53981,0.08413,0.39831,0.04228,0.0151
185.239,7,123-66-0,Ethylhexanoat Halal,0.082492,0.48709,0.22218,-0.11403,0.03166,-0.11921
185.239,8,3658-77-3,Furaneol Halal,0.261752,0.47518,0.00123,0.17305,0.13147,0.16944
185.239,9,141-78-6,Ethylacetat Kosher Halal,0.068743,0.37079,0.11319,-0.0489,0.1781,-0.0306
185.239,10,109-52-4,Valeriansäure Kosher Halal,0.002062,0.2588,-0.03039,0.06358,0.13279,-0.03203
185.239,11,105-54-4,Ethylbutyrat Kosher Halal,0.059806,0.22284,-0.13051,0.06223,-0.00052,0.02958
185.239,12,706-14-9,gamma-Decalacton Kosher Halal,0.020623,0.19583,-0.05716,-0.09323,0.00464,0.04078
185.239,13,111-27-3,Hexanol Kosher Halal,0.001375,0.15319,-0.01492,-0.04652,0.0294,-0.06235
185.239,14,75-18-3,"Dimethylsulfid, natürlich Kosher Halal BG, V",0.000687,0.14847,0.0301,-0.04602,-0.04995,-0.0224
185.239,15,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.002062,0.14446,-0.05488,-0.01359,-0.05522,0.02077
185.239,16,64-19-7,Essigsäure Halal Kosher,0.041246,0.08361,-0.00054,-0.0204,0.05439,0.00828
185.239,17,97-64-3,Ethyllactat Halal,0.016842,0.05805,-0.02346,-0.02095,0.0051,-0.00854
185.239,18,16491-36-4,cis-3-Hexenylbutyrat Halal,0.000687,0.03935,0.00453,0.00228,-0.02261,-0.00993
185.239,19,107-92-6,Buttersäure Halal Kosher,0.034372,0.03623,-0.00498,-0.01558,-0.01515,0.00052
185.267,1,75-18-3,"Dimethylsulfid, natürlich Kosher Halal BG, V",0.003472,0.82036,0.16629,-0.25429,-0.276,-0.12379
185.267,2,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.001285,0.69676,0.1385,0.18825,-0.27489,0.09513
185.267,3,6728-26-3,trans-2-Hexenal Kosher Halal,0.000979,0.59493,-0.08077,0.23264,0.22938,-0.05215
185.267,4,142-62-1,Hexansäure kräftig,0.032618,0.34028,0.2184,-0.01424,-0.10388,0.00377
185.267,5,105-54-4,Ethylbutyrat Kosher Halal,0.041299,0.32634,-0.19113,0.09113,-0.00076,0.04332
185.267,6,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.021903,0.24014,-0.03743,-0.17719,-0.01881,-0.00672
185.267,7,8016-03-3,Davana-Öl,0.001042,0.19937,0.07691,-0.06618,-0.01832,-0.03796
185.267,8,116-53-0,2-Methylbuttersäure Halal Kosher,0.080882,0.18862,0.10422,0.02878,-0.05182,0.0038
185.267,9,103-36-6,Ethylcinnamat Halal,9e-05,0.17852,0.07635,-0.05252,-0.0129,-0.03674
185.267,10,706-14-9,gamma-Decalacton Kosher Halal,0.022257,0.17172,-0.05013,-0.08176,0.00407,0.03576
185.267,11,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.002253,0.1396,-0.05303,-0.01313,-0.05336,0.02007
185.267,12,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.024306,0.13511,0.03023,-0.04414,-0.05478,-0.00595
185.267,13,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.03759,0.05549,-0.02985,0.00591,0.01549,0.00423
185.267,14,66-25-1,Hexanal Kosher Halal,0.000236,0.03985,0.01927,0.00622,0.00728,0.00709
185.267,15,107-92-6,Buttersäure Halal Kosher,4.9e-05,0.02976,0.00409,0.01279,0.01244,-0.00043
185.267,16,123-66-0,Ethylhexanoat Halal,0.035295,0.002,-0.00091,0.00047,-0.00013,0.00049
185.291,1,105-54-4,Ethylbutyrat Kosher Halal,0.01992,0.44589,-0.26115,0.12452,-0.00103,0.05919
185.291,2,706-14-9,gamma-Decalacton Kosher Halal,0.014343,0.28848,-0.08421,-0.13735,0.00684,0.06008
185.291,3,142-92-7,Hexylacetat Kosher Halal,0.007968,0.27036,0.03393,0.05602,0.07365,0.10677
185.291,4,116-53-0,2-Methylbuttersäure Halal Kosher,0.011952,0.26227,-0.14491,-0.04002,0.07205,-0.00529
185.291,5,123-66-0,Ethylhexanoat Halal,0.011952,0.24389,-0.11125,0.0571,-0.01585,0.05969
185.291,6,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.015936,0.22597,-0.12158,0.02407,0.06308,0.01724
185.291,7,97-64-3,Ethyllactat Halal,0.051793,0.22115,-0.08937,-0.07981,0.01943,-0.03254
185.291,8,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.043825,0.14303,-0.02229,-0.10554,-0.0112,-0.004
185.291,9,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.011952,0.10709,0.04068,0.01007,0.04094,-0.0154
185.291,10,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.013546,0.00142,-0.00032,0.00046,0.00058,6e-05
185.294,1,431-03-8,Diacetyl Halal,0.007155,1.0739,0.03153,-0.26209,0.26439,0.51589
185.294,2,106-32-1,Ethyloctanoat Halal Kosher,0.005445,1.03504,0.16706,0.26657,-0.27709,0.32433
185.294,3,706-14-9,gamma-Decalacton Kosher Halal,0.007178,0.39417,-0.11506,-0.18767,0.00935,0.08209
185.294,4,1754-62-7,Methyl-trans-cinnamat Halal,0.000469,0.323,-0.04938,-0.11768,-0.10384,0.0521
185.294,5,111-27-3,Hexanol Kosher Halal,0.012377,0.27672,0.02694,0.08403,-0.05311,0.11263
185.294,6,513-86-0,Acetoin 50% in PG Kosher Halal,0.042387,0.263,-0.08713,0.00092,0.16639,-0.00855
