Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
187.064P,0.8665972028757729,0.015143494666319512,0.17610874502657528,-0.7480930310089084,-0.38254424844704654,fruity
187.119P,-1.623861880566926,-0.6322165850943913,-0.4254450650238264,0.28690304956402213,0.31983713861663743,fruity
187.167P,24.27822945110026,-2.2973624348548216,-9.223840201250722,6.21674651419733,-0.1356885167716837,fruity
187.246P,-0.7259459922415272,-0.7645888370265669,-0.5868839071067611,0.6066453621835964,0.5044484350013511,fruity
187.365,-0.21814773613110985,-0.4996358735255555,0.01851309854097744,-0.96538442002724,0.033807753995016544,fruity
187.414P,-0.2913298115390566,-0.9382699560303777,-0.5328680514492717,-0.3765276473740966,-0.2328149786995701,fruity
187.482P,-2.140022992905923,-0.5481727622305809,0.2709506034409485,-0.7323829087215119,0.4005375690631886,fresh
187.483P,0.35622357896194756,-0.9202390073038285,-1.3021632433787413,0.9348203888788528,0.13932345502665527,fruity
187.507P,-0.6345519997780614,10.783979785282366,-3.9493859648012974,-1.5937437333192321,0.22278500112067245,fruity
187.519P,-0.1353108924743624,-0.0838650255449879,0.2912845321515976,-1.067751227074323,-0.055350509041436895,fresh
187.521P,-1.0437281664668456,-0.8543857122553192,0.4686696671594887,-0.026081059311790805,-1.2167086978150625,fruity
187.522P,-0.12748934712228283,0.893891594551659,-0.5184823437136722,-1.2909058357199823,-0.5004427622843479,fruity
187.567P,-0.6497549714513166,-0.6342976533619885,0.2803911288480021,-0.1571320165690399,0.5974721257606488,fruity
187.571P,2.607735997618366,-0.5664335149315181,0.22399956752821318,-1.255502556535505,0.3308775097278813,fruity
187.608P,1.6718739295047933,-0.7056695869426519,1.228891306798657,-1.4085188669226054,-0.10958342348616927,fruity
187.657P,0.4323446022809302,-0.07350416309265416,0.2773032937936969,-0.13513944242795095,0.09292835864560749,fresh
187.662P,0.7200413219547755,-0.8262486783634069,0.17181972566790077,-1.317119669942734,1.0353744547319164,fruity
187.694P,0.39606291112044945,-2.1127382906673344,0.39765251335372065,-4.45376398965988,0.8069273167269198,fruity
187.695P,-0.35553740909065873,-1.5702945921561238,0.14145809640190074,-2.502660745018678,0.569745177943177,fruity
187.746P,-1.1899184047935372,-0.07270187332729906,-0.7317275533350245,0.39934736705524454,0.33513542060128887,fresh
187.752P,-1.3218157418539078,-0.048246605214852814,-0.1807539345059239,-0.2359768658117454,0.42405506615299104,fruity
187.753P,-1.2799499152049725,-0.44709271700516307,-0.019321757509673194,-0.18205641226200917,0.38446268119436217,fruity
187.772,0.16473314923469692,0.6940655451850201,-4.4633091643554765,5.823517695931788,-0.09355360305137198,warm
187.773P,1.6087760358239624,0.030023328781609786,3.511076097676999,-1.7344963214634868,-0.18057336335682272,fruity
187.776,-1.0176086570044358,-0.8467163209732977,-0.0839464053812244,-0.23084912548946732,0.4775028103465776,fruity
187.783P,-1.2987438232253814,-0.9378539831743063,-0.18915697682160088,0.1485548031740327,-0.01351994773666329,fruity
187.786P,-0.6311076120583754,-0.37210804970761907,-0.7035334298293311,0.31758561524340306,0.17468049212192038,fruity
187.787P,0.44809461275145585,-0.08062349408758064,0.6719355400057379,-0.041525604793114554,-0.7577811409884365,fruity
