CAS,Ingredient,Frequency,Recipes_Count,Avg_Norm_When_Present,Avg_Norm_All_Recipes
112-14-1,"Octylacetat, natürlich",0.0155,2,0.001617,2.5e-05
8008-79-5,Grüne Minze-Öl Amerikanisch,0.0155,2,0.000414,6e-06
54814-64-1,"Massoialacton, natürlich Halal",0.0155,2,0.000471,7e-06
98-85-1,Styralylalkohol Halal,0.0155,2,0.00115,1.8e-05
10191-41-0,DL-Alpha-Tocopherol Halal,0.0155,2,0.001091,1.7e-05
3390-12-3,Acetaldehyd PG acetal,0.0155,2,0.007211,0.000112
7786-61-0,"4-Vinylguajacol 1% in PG, natürlich",0.0155,2,7e-05,1e-06
695-06-7,gamma-Hexalacton Halal,0.0155,2,0.000256,4e-06
123-38-6,Propionaldehyd Kosher Halal,0.0155,2,0.000263,4e-06
120-57-0,Heliotropin Halal,0.0155,2,0.000235,4e-06
765-70-8,Cycloten Halal Kosher,0.0155,2,0.003208,5e-05
103-45-7,Phenethylacetat Halal Kosher,0.0155,2,0.00049,8e-06
8008-57-9,Orangen-Öl terpenfrei Halal,0.0078,1,0.019404,0.00015
8008-56-8,Zitronen-Öl italienisch Kosher Halal,0.0078,1,0.002344,1.8e-05
8008-45-5,Muskatnuss-Öl Terpenfrei,0.0078,1,0.004191,3.2e-05
104-61-0,gamma-Nonalacton Halal Kosher,0.0078,1,0.000127,1e-06
8007-80-5,Zimtkassie-Öl,0.0078,1,0.007762,6e-05
8006-81-3,Ylang-Öl VOP,0.0078,1,8e-05,1e-06
23726-92-3,beta-Damascon Halal,0.0078,1,0.005085,3.9e-05
4643-27-0,2-Octen-4-on,0.0078,1,0.00114,9e-06
84650-60-2,Schwarztee Treattarome 9761 Halal,0.0078,1,0.787058,0.006101
104-21-2,Anisylacetat Halal,0.0078,1,0.00109,8e-06
10032-13-0,Hexylisovalerat Halal Kosher,0.0078,1,0.004074,3.2e-05
101-97-3,"Ethylphenylacetat, natürlich Halal",0.0078,1,7.5e-05,1e-06
102-19-2,"Isoamylphenylacetat, natürlich",0.0078,1,1e-05,0.0
14667-55-1,"2,3,5-Trimethylpyrazin, natürlich Halal",0.0078,1,0.001746,1.4e-05
96-48-0,"gamma-Butyrolacton, natürlich",0.0078,1,0.001749,1.4e-05
103-41-3,Benzylcinnamat Halal,0.0078,1,0.002549,2e-05
20702-77-6,Neohesperidindihydrochalcon FMP Halal,0.0078,1,3.7e-05,0.0
14400-67-0,"Mango furanon, natürlich",0.0078,1,0.000968,8e-06
93-28-7,"Eugenylacetat, natürlich",0.0078,1,0.000858,7e-06
91722-21-3,Stevia-Aroma (FMP; 4% Reb A; MD) Halal,0.0078,1,0.095477,0.00074
90063-52-8,Limetten-Öl destilliert terpenfrei Halal,0.0078,1,0.165166,0.00128
23696-85-7,"beta-Damascenon, natürlich Kosher Halal",0.0078,1,0.000138,1e-06
90045-28-6,Wintergrün-Öl China,0.0078,1,0.000237,2e-06
89-78-1,"L-Menthol ex Minze, natürlich Halal",0.0078,1,4.5e-05,0.0
87-44-5,"beta-Caryophyllen, natürlich Halal",0.0078,1,0.000207,2e-06
8000-34-8,"Nelkenknospen-Öl, Typ Rosine",0.0078,1,0.021732,0.000168
104-20-1,Himbeerketonmethylether Halal,0.0078,1,0.006357,4.9e-05
8002-73-1,"Iris-Absolue, ca. 70% Iron Kosher Halal",0.0078,1,0.0,0.0
106-24-1,Geraniol Halal Kosher,0.0078,1,0.000668,5e-06
800-90-4,"Pfefferminz-Öl (Mentha piperita), Terpenfrei",0.0078,1,0.000574,4e-06
105-21-5,gamma-Heptalacton Halal,0.0078,1,3e-06,0.0
3301-94-8,delta-Nonalacton,0.0078,1,0.002992,2.3e-05
626-82-4,Butylhexanoat Halal,0.0078,1,0.001115,9e-06
624-92-0,"Dimethyldisulfid, natürlich Halal, V",0.0078,1,0.000494,4e-06
119-84-6,"Dihydrocoumarin, natürlich Kosher Halal, BG",0.0078,1,0.017147,0.000133
1192-62-7,"2-Acetylfuran, natürlich",0.0078,1,0.002551,2e-05
123-68-2,"Allylhexanoat, natürlich Halal",0.0078,1,0.000312,2e-06
38462-22-5,"Thiomenthon, natürlich Halal",0.0078,1,2.2e-05,0.0
540-18-1,Amylbutyrat,0.0078,1,0.015147,0.000117
539-90-2,Isobutylbutyrat Kosher Halal,0.0078,1,0.079459,0.000616
122-78-1,"Phenylacetaldehyd 10% in Triacetin, natürlich Halal",0.0078,1,0.000104,1e-06
123-35-3,"Myrcen, natürlich Halal BG V",0.0078,1,6.2e-05,0.0
4166-20-5,Furaneolacetat Halal Kosher,0.0078,1,0.002269,1.8e-05
51115-64-1,2-Methylbutylbutyrat,0.0078,1,0.003767,2.9e-05
123-11-5,Anisaldehyd Halal,0.0078,1,0.005509,4.3e-05
50-81-7,"Vitamin C (Ascorbinsäure E300) Kosher Halal, BG",0.0078,1,0.02195,0.00017
124-19-6,"Nonanal, natürlich Halal",0.0078,1,0.000216,2e-06
112-05-0,Nonansäure,0.0078,1,0.000196,2e-06
111-13-7,2-Octanon Halal,0.0078,1,0.001896,1.5e-05
106-22-9,"Citronellol, natürlich Kosher, Halal",0.0078,1,0.000227,2e-06
140-10-3,"Zimtsäure, natürlich",0.0078,1,0.000324,3e-06
105-53-3,Diethylmalonat Halal Kosher,0.0078,1,0.000264,2e-06
105-66-8,Propylbutyrat Kosher,0.0078,1,0.001278,1e-05
78-93-3,"Methylethylketon, natürlich",0.0078,1,0.011318,8.8e-05
105-68-0,Isoamylpropionat Halal Kosher,0.0078,1,0.002607,2e-05
2445-78-5,2-Methylbutyl-2-methylbutyrat,0.0078,1,0.000186,1e-06
106-25-2,Nerol Halal Kosher,0.0078,1,0.000223,2e-06
15679-12-6,"2-Ethyl-4-methylthiazol, natürlich",0.0078,1,4e-06,0.0
106-33-2,"Ethyllaurat, natürlich Kosher Halal",0.0078,1,0.000494,4e-06
24817-51-4,Phenethyl-2-methylbutyrat Halal,0.0078,1,0.00134,1e-05
137-32-6,"2-Methyl-1-butanol, natürlich Kosher Halal",0.0078,1,0.001757,1.4e-05
25152-84-5 ,"trans,trans-2,4-Decadienal Halal",0.0078,1,8e-06,0.0
13532-18-8,Methyl-3-(methylthio)propionat,0.0078,1,0.009451,7.3e-05
67-68-5,Dimethylsulfoxid Halal Kosher,0.0078,1,0.000748,6e-06
110-39-4,"Octylbutyrat, natürlich",0.0078,1,8.2e-05,1e-06
