Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29200047,185.267,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0000140000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29200716,185.382P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0001500000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
RE00734_A01,185.471,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0004810000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201231,185.507P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0000080000,107-92-6,cheesy,acidic,buttery,fruity,unpleasant,fruity,,5,,,,
29201573,187.507P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0005070000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201733,187.657P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0025740000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201953,187.886P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0073570000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201969,187.894P,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0028120000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201008,185.090P,R01880,60030361,butterysäure Halal Kosher,0.0013950000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29201778,187.694P,R01880,60030361,butterysäure Halal Kosher,0.0024330000,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
29200034,185.294,R01620,60030161,Ethylisovalerat Kosher Halal,0.0017260000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29200048,185.309P,R01620,60030161,Ethylisovalerat Kosher Halal,0.0007800000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29200533,186.190P,R01620,60030161,Ethylisovalerat Kosher Halal,0.0008800000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201778,187.694P,R01620,60030161,Ethylisovalerat Kosher Halal,0.0032560000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201891,187.796P,R01620,60030161,Ethylisovalerat Kosher Halal,0.0046260000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29202868,188.740P,R01620,60030161,Ethylisovalerat Kosher Halal,0.0010000000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
RE00429_A02,185.028,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0000087500,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
RE00171_A01,185.091,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0001400000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29200716,185.382P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0006400000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
RE00734_A01,185.471,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0007530000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201733,187.657P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0012000000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201874,187.787P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0028160000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201895,187.800P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0009720000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201969,187.894P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0000390000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29202004,187.916P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0009720000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29202513,188.412P,R01938,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0013160000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,fresh,green,"0,5",,,,
29201891,187.796P,R01805,60030342,Valeriansäure Kosher Halal,0.0002150000,109-52-4,cheesy,Powdery,acidic,rancid,unpleasant,fruity,dairy,1,,,,
29200042,185.237H,R01682,60030222,Isobutylacetat Halal Kosher,0.0025200000,110-19-0,fruity,ethereal,banana,tropical,fruity,fresh,green,1,,,,
29200048,185.309P,R01682,60030222,Isobutylacetat Halal Kosher,0.0003440000,110-19-0,fruity,ethereal,banana,tropical,fruity,fresh,green,1,,,,
