Einzelwerte / Material,,,,,,,
,,,,,,,Benutzer: Petka Jan
Auswahl: CAS,,,,,,,Datum: 27.01.2026 13:22:00
,,,,,,,
"Bearbeitungsstatus: Freigabe zur Entwicklung/Bemusterung, Produktion/freigegeben",,,,,,,
"Lenkungsstatus: , freigegeben",,,,,,,
Abteilung/Sortiment: Abteilung,,,,,,,
Art/Gebiet/Bereich: Rohwaren,,,,,,,
"Werke:RohwarenAustria Juice Bingen, Austria Juice Krdf.",,,,,,,
,,,,,,,
Alle Regeln treffen zu:,,,,,,,
Attribute - Bezeichnung gleich CAS-Nr.:; Hinweis 1 nicht wie ,,,,,,,
,,,,,,,
Stamm-Nr.,Stammbezeichnung,Ident.,Vers.,Int. Id.,Partner,CAS-Nr.: - Hinweis 1,
60030114,Citronellol Halal,R01572,005,R01572,Austria Juice,106-22-9,
60030115,Citronellylacetat Halal Kosher,R01573,007,R01573,Austria Juice,150-84-5,
60030116,Citronellylbutyrat,R01574,003,R01574,Austria Juice,141-16-2,
60030117,Citronellylisobutyrat,R01575,004,R01575,Austria Juice,97-89-2,
60030118,Kaffeefuranon Halal,R01576,006,R01576,Austria Juice,3188-00-9,
60030119_+K+,"Methyl Corylone (3,4-Dimethyl-1,2-Cyclopentadion)",R01577,002,R01577,Austria Juice,13494-06-9,
60030122,Cycloten Halal Kosher,R01580,007,R01580,Austria Juice,765-70-8,
60030124_+K+,Decanal Halal,R01582,005,R01582,Austria Juice,112-31-2,
60030125,Decansäure Halal Kosher,R01583,008,R01583,Austria Juice,334-48-5,
60030127,delta-3-Caren Halal,R01585,005,R01585,Austria Juice,13466-78-9,
60030128_+K+,delta-Decalacton Halal Kosher,R01586,008,R01586,Austria Juice,705-86-2,
60030129_+K+,delta-Dodecalacton Halal Kosher,R01587,008,R01587,Austria Juice,713-95-1,
60030130,delta-Hexalacton,R01588,005,R01588,Austria Juice,823-22-3,
60030132,delta-Nonalacton,R01590,005,R01590,Austria Juice,3301-94-8,
60030133,delta-Octalacton Halal Kosher,R01591,008,R01591,Austria Juice,698-76-0,
60030134,delta-Undecalacton Halal Kosher,R01592,007,R01592,Austria Juice,710-04-3,
60030135_+G+,Diacetyl Halal Kosher,R01593,006,R01593,Austria Juice,431-03-8,
60030136,Diethylmalat,R01594,004,R01594,Austria Juice,7554-12-3,
60030137,Diethylmalonat Halal Kosher,R01595,007,R01595,Austria Juice,105-53-3,
60030138_+G+,Dihydroactinidolid,R01597,002,R01597,Austria Juice,15356-74-8,
60030139,Dihydrocoumarin Halal Kosher,R01598,008,R01598,Austria Juice,119-84-6,
60030141,Dimethylanthranilat,R01600,005,R01600,Austria Juice,85-91-6,
60030142_+K+,"Dimethylsulfid, natürlich Kosher Halal BG, V",R01601,013,R01601,Austria Juice,75-18-3,
60030144_+K+,Laurinsäurealdehyd (Dodecanal),R01603,004,R01603,Austria Juice,112-54-9,
60030145_+K+,"Ethyl-trans,cis-2,4-decadienoat Halal Kosher",R01604,005,R01604,Austria Juice,3025-30-7,
60030147,Ethyl-2-methylbutyrat Kosher Halal,R01606,008,R01606,Austria Juice,7452-79-1,
60030148,Ethyl-3-(methylthio)propionat,R01607,003,R01607,Austria Juice,13327-56-5,
60030149,Ethyl-3-hydroxyhexanoat,R01608,005,R01608,Austria Juice,2305-25-1,
60030150,Ethylacetat Kosher Halal,R01609,007,R01609,Austria Juice,141-78-6,
60030151,Ethylacetoacetat Halal Kosher,R01610,005,R01610,Austria Juice,141-97-9,
60030152_+G+,Ethylacrylat,R01611,004,R01611,Austria Juice,140-88-5,
60030153,Ethylbenzoat,R01612,004,R01612,Austria Juice,93-89-0,
60030154,Ethylbutyrat Kosher Halal,R01613,017,R01613,Austria Juice,105-54-4,
60030155,Ethylcinnamat Halal Kosher,R01614,006,R01614,Austria Juice,103-36-6,
60030156,Ethyldecanoat Halal Kosher,R01615,007,R01615,Austria Juice,110-38-3,
60030157,Ethylformiat Halal,R01616,005,R01616,Austria Juice,109-94-4,
60030158,Ethylheptanoat Halal Kosher,R01617,007,R01617,Austria Juice,106-30-9,
60030159,Ethylhexanoat Halal Kosher,R01618,006,R01618,Austria Juice,123-66-0,
60030160,Ethylisobutyrat Halal Kosher,R01619,005,R01619,Austria Juice,97-62-1,
60030161,Ethylisovalerat Kosher Halal,R01620,008,R01620,Austria Juice,108-64-5,
60030162,"Ethyllactat, natürlich Kosher Halal",R01621,012,R01621,Austria Juice,97-64-3,
60030163,Ethyllaurat Halal,R01622,005,R01622,Austria Juice,106-33-2,
60030164,Ethyllävulinat,R01623,004,R01623,Austria Juice,539-88-8 ,
60030165,Ethylmyristat,R01624,004,R01624,Austria Juice,124-06-1,
60030166,Ethylnonanoat Halal,R01625,004,R01625,Austria Juice,123-29-5,
60030167,Ethyloctanoat Halal Kosher,R01626,006,R01626,Austria Juice,106-32-1,
60030168,Ethylphenylacetat Halal,R01627,004,R01627,Austria Juice,101-97-3,
60030169,Ethylpropionat Halal Kosher,R01628,006,R01628,Austria Juice,105-37-3,
60030170_+K+,Ethylpyruvat,R01629,004,R01629,Austria Juice,617-35-6,
60030171,Ethyl-trans-2-crotonat,R01630,004,R01630,Austria Juice,10544-63-5,
60030172,Ethylvalerat,R01631,005,R01631,Austria Juice,539-82-2,
60030173,Ethylvanillin Halal,R01632,007,R01632,Austria Juice,121-32-4,
60030174,Eucalyptol Kosher Halal,R01633,009,R01633,Austria Juice,470-82-6,
60030175,Eugenol Halal Kosher,R01634,009,R01634,Austria Juice,97-53-0,
60030176,Eugenylacetat Halal Kosher,R01635,006,R01635,Austria Juice,93-28-7,
60030177_+K+,Fenchol Halal,R01636,006,R01636,Austria Juice,1632-73-1,
60030178_+K+,Ameisensäure Halal Kosher,R01637,006,R01637,Austria Juice,64-18-6,
60030179,Fraiston Halal Kosher,R01638,009,R01638,Austria Juice,6290-17-1,
60030181_+TK+G+,Furfural Halal,R01640,007,R01640,Austria Juice,98-01-1,
60030182,gamma-Butyrolacton Halal,R01641,007,R01641,Austria Juice,96-48-0,
60030183,gamma-Decalacton Kosher Halal,R01642,009,R01642,Austria Juice,706-14-9,
60030184,gamma-Dodecalacton Halal Kosher,R01643,006,R01643,Austria Juice,2305-05-7,
60030185,gamma-Hexalacton Halal Kosher,R01644,006,R01644,Austria Juice,695-06-7,
60030186,gamma-Nonalacton Halal Kosher,R01645,006,R01645,Austria Juice,104-61-0,
60030187,gamma-Octalacton Halal Kosher,R01646,005,R01646,Austria Juice,104-50-7,
60030188,gamma-Terpinen,R01647,007,R01647,Austria Juice,99-85-4,
60030189,gamma-Undecalacton Halal Kosher,R01648,007,R01648,Austria Juice,104-67-6,
60030190,Geraniol Halal Kosher,R01649,009,R01649,Austria Juice,106-24-1,
60030191,Geranylacetat Halal,R01650,006,R01650,Austria Juice,105-87-3,
60030192,Geranylbutyrat,R01651,006,R01651,Austria Juice,106-29-6,
60030194,Geranylisobutyrat,R01653,003,R01653,Austria Juice,2345-26-8,
60030195,Geranylpropionat,R01654,002,R01654,Austria Juice,105-90-8,
60030196,Glycerin (palmölfrei) Halal,R01655,013,R01655,Austria Juice,56-81-5,
60030197,Ethyl-3-hydroxybutyrat,R01656,004,R01656,Austria Juice,5405-41-4,
60030198_+ZK+,"Grapefruitmercaptan 0.1%, natürlich Halal",R01657,011,R01657,Austria Juice,71159-90-5  ,
60030200_+G+,Heliotropin Halal Kosher,R01659,010,R01659,Austria Juice,120-57-0,
60030201_+K+,Heptanal Halal,R01660,006,R01660,Austria Juice,111-71-7,
60030202,Heptylacetat,R01661,004,R01661,Austria Juice,112-06-1,
60030203_+K+,Hexanal Kosher Halal,R01662,008,R01662,Austria Juice,66-25-1,
60030204,Hexansäure mild Halal Kosher,R01663,008,R01663,Austria Juice,142-62-1,
60030205,Hexanol Kosher Halal,R01664,009,R01664,Austria Juice,111-27-3,
60030206,Hexyl-2-methylbutyrat Halal Kosher,R01665,006,R01665,Austria Juice,10032-15-2,
60030207,Hexylacetat Kosher Halal,R01666,009,R01666,Austria Juice,142-92-7,
60030208,Hexylbutyrat Halal Kosher,R01667,007,R01667,Austria Juice,2639-63-6,
60030209,Hexylhexanoat Kosher Halal,R01668,006,R01668,Austria Juice,6378-65-0,
60030210_+K+,Hexylpropionat,R01669,004,R01669,Austria Juice,2445-76-3,
60030211_+G+,Indol Halal,R01670,005,R01670,Austria Juice,120-72-9,
60030212,Isoamyl-2-methylbutyrat,R01672,005,R01672,Austria Juice,27625-35-0 ,
60030213,Isoamylacetat Halal Kosher,R01673,008,R01673,Austria Juice,123-92-2,
60030214,Isoamylalkohol Kosher Halal,R01674,008,R01674,Austria Juice,123-51-3,
60030215,Isoamylbutyrat Halal Kosher,R01675,007,R01675,Austria Juice,106-27-4,
60030216,Isoamylhexanoat Halal Kosher,R01676,006,R01676,Austria Juice,2198-61-0,
60030217,Isoamylisobutyrat Halal Kosher,R01677,006,R01677,Austria Juice,2050-01-3,
60030218,Isoamylisovalerat Kosher Halal,R01678,006,R01678,Austria Juice,659-70-1,
60030219,Isoamyloctanoat,R01679,003,R01679,Austria Juice,2035-99-6,
60030220,Isoamylpropionat Halal Kosher,R01680,007,R01680,Austria Juice,105-68-0,
60030221,Isobutanol Halal,R01681,005,R01681,Austria Juice,78-83-1,
60030222,Isobutylacetat Halal Kosher,R01682,008,R01682,Austria Juice,110-19-0,
60030223,"Isobutylbutyrat, natürlich Halal",R01683,005,R01683,Austria Juice,539-90-2,
60030225,Isobutylisobutyrat,R01685,001,R01685,Austria Juice,97-85-8,
60030227,Isobutylpropionat,R01687,002,R01687,Austria Juice,540-42-1,
60030228_+K+,Isobutyraldehyd Halal Kosher,R01688,005,R01688,Austria Juice,78-84-2,
60030229,Isobuttersäure Kosher Halal,R01689,005,R01689,Austria Juice,79-31-2,
60030230,Isoeugenol,R01690,004,R01690,Austria Juice,97-54-1,
60030231,Isopropanol Halal,R01691,005,R01691,Austria Juice,67-63-0,
60030232_+K+,Isopropylacetat,R01692,003,R01692,Austria Juice,108-21-4,
60030233,Isopropylbutyrat,R01693,002,R01693,Austria Juice,638-11-9,
60030237_+K+,Isovaleraldehyd Halal Kosher,R01697,007,R01697,Austria Juice,590-86-3,
60030238,Isovaleriansäure Halal,R01698,005,R01698,Austria Juice,503-74-2,
60030239_+OK+,Jambu Oleoresin in PG,R01699,005,R01699,Austria Juice,90131-24-1,
60030241,Ketoisophoron,R01701,001,R01701,Austria Juice,1125-21-9,
60030243,Laurinsäure Halal,R01703,005,R01703,Austria Juice,143-07-7,
60030244,Lävulinsäure,R01704,002,R01704,Austria Juice,123-76-2,
60030246,Linalool Halal Kosher,R01706,008,R01706,Austria Juice,78-70-6,
60030247,Linalylacetat Halal Kosher,R01707,008,R01707,Austria Juice,115-95-7,
60030248,Linalylbutyrat Halal,R01708,005,R01708,Austria Juice,78-36-4,
60030250,Maltol Kosher Halal,R01710,007,R01710,Austria Juice,118-71-8,
60030251_+K+,"Massoialacton, natürlich Halal",R01711,006,R01711,Austria Juice,54814-64-1,
60030252,DL-Menthol Halal Kosher,R01712,006,R01712,Austria Juice,89-78-1,
60030253,"Menthylacetat, D,L- Halal Kosher",R01713,006,R01713,Austria Juice,16409-45-3,
60030254_+K+,Mesifuran,R01714,004,R01714,Austria Juice,4077-47-8,
60030255,Methyl-2-methylbutyrat Halal Kosher,R01715,004,R01715,Austria Juice,868-57-5,
60030256,Methyl-3-(methylthio)propionat,R01716,003,R01716,Austria Juice,13532-18-8,
60030258,Methylanthranilat Halal,R01718,004,R01718,Austria Juice,134-20-3,
60030259,Methylbutylphenylacetat,R01719,001,R01719,Austria Juice,3549-23-3,
60030260,Methylbutyrat Halal,R01720,004,R01720,Austria Juice,623-42-7,
60030261,Methyl-trans-cinnamat Halal Kosher,R01721,006,R01721,Austria Juice,1754-62-7,
60030262,Methyldihydrojasmonat Halal Kosher,R01722,007,R01722,Austria Juice,24851-98-7,
60030264,Methylethylketon,R01724,003,R01724,Austria Juice,78-93-3,
60030265,Methylheptanoat,R01725,003,R01725,Austria Juice,106-73-0,
60030266,Methylheptenon Halal,R01726,005,R01726,Austria Juice,110-93-0,
