Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29201878,187.783P,Erdbeer-Aroma,60030404,"Ethylpropionat, natürlich Kosher Halal",0.0011210000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29201971,187.892P,Erdbeer-Aroma,60030169,Ethylpropionat Halal Kosher,0.0005110000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29201964,187.893P,Erdbeer-Aroma,60030169,Ethylpropionat Halal Kosher,0.0012010000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29201969,187.894P,Erdbeer-Aroma,60030404,"Ethylpropionat, natürlich Kosher Halal",0.0009970000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29202007,187.920P,Erdbeer-Aroma,60030169,Ethylpropionat Halal Kosher,0.0000140000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29202470,188.375P,Erdbeer-Aroma,60030404,"Ethylpropionat, natürlich Kosher Halal",0.0008940000,105-37-3,fruity,rum,juicy,grape,fruity,solvent,,0.1,,,
29200240,185.675P,Erdbeer-Aroma,60030137,Diethylmalonat Halal Kosher,0.0000440000,105-53-3,fruity,green,apple,,fruity,green,,5,,,
29200047,185.267,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0118940000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0546930000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0316680000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29200240,185.675P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0060000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201172,185.741P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0119390000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0067910000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0000100000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29203204,185.922P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0015570000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0011940000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0068720000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29200308,186.396P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0057270000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29200823,186.950P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0005000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29200974,187.061P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0022920000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201025,187.119P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0016700000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201573,187.507P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0095450000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201588,187.522P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0100130000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201745,187.662P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0228610000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201835,187.746P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0040200000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201878,187.783P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0023780000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201947,187.871P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0063330000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201955,187.885P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0125890000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201971,187.892P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.1109640000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201964,187.893P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0058150000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201969,187.894P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0252390000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202007,187.920P,Erdbeer-Aroma,60030154,Ethylbutyrat Kosher Halal,0.0484490000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202470,188.375P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0151250000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202513,188.412P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0071910000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202746,188.628P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0190900000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202795,188.668P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0160000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29202914,188.796P,Erdbeer-Aroma,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0437550000,105-54-4,fruity,juicy,pineapple,cognac,fruity,,,0.1,,,
29201878,187.783P,Erdbeer-Aroma,60030424,"Acetal, natürlich Halal BG V",0.0000490000,105-57-7,ethereal,green,nutty,earthy,warm,green,,0.1,,,
29201964,187.893P,Erdbeer-Aroma,60030042,Acetal Halal Kosher,0.0000730000,105-57-7,ethereal,green,nutty,earthy,warm,green,,0.1,,,
29201969,187.894P,Erdbeer-Aroma,60030424,"Acetal, natürlich Halal BG V",0.0002850000,105-57-7,ethereal,green,nutty,earthy,warm,green,,0.1,,,
29201172,185.741P,Erdbeer-Aroma,60030311,Propylbutyrat Kosher,0.0002690000,105-66-8,fruity,apricot,pineapple,rancid,fruity,,,0.1,,,
29200974,187.061P,Erdbeer-Aroma,60030215,Isoamylbutyrat Halal Kosher,0.0000930000,106-27-4,fruity,green,apricot,pear,fruity,,,0.666666667,,,
29201025,187.119P,Erdbeer-Aroma,60030492,"Isoamylbutyrat, natürlich Halal Kosher",0.0000800000,106-27-4,fruity,green,apricot,pear,fruity,,,0.666666667,,,
29201947,187.871P,Erdbeer-Aroma,60030215,Isoamylbutyrat Halal,0.0029770000,106-27-4,fruity,green,apricot,pear,fruity,,,0.666666667,,,
29201964,187.893P,Erdbeer-Aroma,60030215,Isoamylbutyrat Halal Kosher,0.0005520000,106-27-4,fruity,green,apricot,pear,fruity,,,0.666666667,,,
29201835,187.746P,Erdbeer-Aroma,60030480,"Ethylheptanoat, natürlich Halal",0.0000160000,106-30-9,fruity,pineapple,cognac,rum,fruity,solvent,,0.066666667,,,
29200817,185.796P,Erdbeer-Aroma,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0001900000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29201835,187.746P,Erdbeer-Aroma,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0000180000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29201969,187.894P,Erdbeer-Aroma,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0004930000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29202007,187.920P,Erdbeer-Aroma,60030167,Ethyloctanoat Halal Kosher,0.0002940000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29202513,188.412P,Erdbeer-Aroma,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0009280000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29202914,188.796P,Erdbeer-Aroma,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0012240000,106-32-1,waxy,fruity,wine,apricot,fruity,solvent,,0.5,,,
29201969,187.894P,Erdbeer-Aroma,60030485,"Ethyllaurat, natürlich Kosher Halal",0.0000870000,106-33-2,waxy,waxy,floral,soapy,fruity,solvent,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030421,"Methylhexanoat, natürlich Halal",0.0000010000,106-70-7,fruity,pineapple,etheral,,fruity,solvent,,0.1,,,
29200974,187.061P,Erdbeer-Aroma,60030267,Methylhexanoat,0.0001850000,106-70-7,fruity,pineapple,etheral,,fruity,solvent,,0.1,,,
29201835,187.746P,Erdbeer-Aroma,60030421,"Methylhexanoat, natürlich Halal",0.0000330000,106-70-7,fruity,pineapple,etheral,,fruity,solvent,,0.1,,,
29202914,188.796P,Erdbeer-Aroma,60030421,"Methylhexanoat, natürlich Halal",0.0000060000,106-70-7,fruity,pineapple,etheral,,fruity,solvent,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030506,"2-Pentanon, natürlich Halal",0.0000320000,107-87-9,fruity,etheral,wine,banana,fruity,solvent,,2,,,
29202914,188.796P,Erdbeer-Aroma,60030506,"2-Pentanon, natürlich Halal",0.0002040000,107-87-9,fruity,etheral,wine,banana,fruity,solvent,,2,,,
29200047,185.267,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0000140000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0004810000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
29200817,185.796P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0000040000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030095,"Buttersäure, natürlich Kosher Halal",0.0003650000,107-92-6,cheesy,acetic,butter,fruit,dairy,fruity,,5,,,
